,Label,x,y,claim,perspective,opposite_auto
2545,1,0,0,Abolish congressional earmarks,Earmarks do not represent an efficient use of taxpayers' money,Earmarks do represent an efficient use of taxpayers' money
2547,1,0,0,Abolish congressional earmarks,Earmarks aren't the best way to spend tax dollars. ,Earmarks are the best way to spend tax dollars.
2554,0,0,0,We should pull out of the Article 98 Agreements that prevent US soldiers from being sent to the ICC for trial,If the US withdraws from Article 98 other countries would not respect the US.,If the US withdraws from Article 98 other countries would respect the US.
2572,1,0,0,Dictatorship is the best path to development,Democracies can't mobilize a country as fast as a dictatorship can., can mobilize a country as fast as a dictatorship can.
2586,0,0,0,Dictatorship is the best path to development,"Dictatorship brings profit to dictators and its clique, but not to the citizens","Dictatorship brings profit to dictators and its clique, but to the citizens"
2599,1,0,0,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,"[Iran specific] Others, particularly Israel, would act if the United States did not","[Iran specific] Others, particularly Israel, would act if the United States did "
2600,1,0,0,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,"If the US does not act on Iran, Israel will","If the US does act on Iran, Israel will"
2602,1,0,0,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,Humanitarian missions would not be possible in states that have nuclear weapons.,Humanitarian missions would be possible in states that have nuclear weapons.
2616,0,0,0,The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,"all countries are entitled to self defense with nuclear weapons, even when they do not have the capacity to carry conventional weapons","all countries are entitled to self defense with nuclear weapons, even when they do have the capacity to carry conventional weapons"
2634,1,0,0,"Democracy has to be imposed, if needed","Because democracy is the best form of government, it is not wrong-- and indeed may even be our obligation-- to bring it to those who do not have it.","Because democracy is the best form of government, it is wrong-- and indeed may even be our obligation-- to bring it to those who do not have it."
2639,0,0,0,"Democracy has to be imposed, if needed","The desire for, and fight for, democracy must come from within or else democratic government will not be sustainable.","The desire for, and fight for, democracy must come from within or else democratic government will be sustainable."
2641,0,0,0,"Democracy has to be imposed, if needed",Democracy by its very nature cannot be imposed.,Democracy by its very nature can be imposed.
2669,0,0,0,Democracies should ban the display of communist and Nazi symbols,People in general are not opposed to Nazi and Soviet symbols.,People in general are opposed to Nazi and Soviet symbols.
2674,0,0,0,Democracies should ban the display of communist and Nazi symbols,Extremist movements are harmful and should not be encouraged.,Extremist movements are harmful and should be encouraged.
2692,0,0,0,Nations of the world should increase protection of the economic and social rights of migrants,"Receiving countries should not and cannot afford to further protect migrants because they often free ride on health, education, and welfare systems.","Receiving countries should and cannot afford to further protect migrants because they often free ride on health, education, and welfare systems."
2694,0,0,0,Nations of the world should increase protection of the economic and social rights of migrants,"Getting nations ought not and can't stand to additionally secure transients since they regularly free ride on wellbeing, instruction, and welfare frameworks.","Getting nations ought and can't stand to additionally secure transients since they regularly free ride on wellbeing, instruction, and welfare frameworks."
2695,0,0,0,Nations of the world should increase protection of the economic and social rights of migrants,"Getting countries should not and can't remain to moreover anchor drifters since they consistently free ride on prosperity, guidance, and welfare structures","Getting countries should and can't remain to moreover anchor drifters since they consistently free ride on prosperity, guidance, and welfare structures"
2716,1,0,0,The House of Lords should be reformed,The House of Lords does not understand the needs of the citizens they serve.,The House of Lords does understand the needs of the citizens they serve.
2729,0,0,0,NATO has succeeded in Afghanistan,nato did not do well to solve afghanistan's economic problems,nato did do well to solve afghanistan's economic problems
2730,0,0,0,NATO has succeeded in Afghanistan,afghanistan economic issues are not solved by Nato,afghanistan economic issues are solved by Nato
2748,0,0,0,Illegal downloaders should be cut off from the internet,Stopping their internet  is not the way to get through to file-sharers,Stopping their internet  is the way to get through to file-sharers
2749,0,0,0,Illegal downloaders should be cut off from the internet,Extreme measures for illegal downloaders won't stop file-sharing,Extreme measures for illegal downloaders wo stop file-sharing
2751,0,0,0,Illegal downloaders should be cut off from the internet,Illegal file-sharers should not be punished by cutting off their internet use,Illegal file-sharers should be punished by cutting off their internet use
2752,0,0,0,Illegal downloaders should be cut off from the internet,Cutting off internet use will not stop file-sharers,Cutting off internet use will stop file-sharers
2757,1,0,0,Illegal downloaders should be cut off from the internet,Internet access is an enabler of rights not a right in itself.,Internet access is an enabler of rights a right in itself.
2758,1,0,0,Illegal downloaders should be cut off from the internet,"The internet assists in accessing rights, it itself is not a right.","The internet assists in accessing rights, it itself is a right."
2759,1,0,0,Illegal downloaders should be cut off from the internet,The internet makes exercising human rights easier but is not a right itself.,The internet makes exercising human rights easier but is a right itself.
2762,0,0,0,Illegal downloaders should be cut off from the internet,Without access to the internet there is not freedom of information and expression in today's world.,Without access to the internet there is freedom of information and expression in today's world.
2770,1,0,0,Illegal downloaders should be cut off from the internet,Internet access is a commodity not a human right.,Internet access is a commodity a human right.
2771,1,0,0,Illegal downloaders should be cut off from the internet,The internet is a utility not a human right.,The internet is a utility a human right.
2772,1,0,0,Illegal downloaders should be cut off from the internet,"Just as electricity is not a human right, the internet, another commodity, is not a human right.","Just as electricity is a human right, the internet, another commodity, is not a human right."
